구분1,평일,토요일,일요일
서울,29.5,26.3,25.8
부산,27.9,24.6,24.7
대구,19.4,17.7,17.1
인천,30.2,26.7,25.9
광주,21.8,19.9,20.2
대전,24.5,21.4,21.1
울산,17.3,16.9,16.7
세종,20.4,22.3,21.2
경기,31.9,28.8,28
강원,11.3,10.5,10.7
충북,17.8,16,15.7
충남,19,17.2,16.6
전북,14.1,12.7,12.7
전남,12.2,11.7,11.6
경북,9.5,8.6,8.1
경남,16.4,15.9,16.2
제주,15.2,15.8,15.4
