구분1,평일,토요일,일요일
서울,"2,308","2,295","2,198"
부산,"2,114","2,079","2,027"
대구,"1,847","1,820","1,783"
인천,"2,034","2,053","2,028"
광주,"1,756","1,710","1,684"
대전,"2,048","1,991","1,904"
울산,"2,170","2,232","2,259"
세종,"1,757","1,696","1,624"
경기,"2,114","2,130","2,106"
강원,"1,786","1,841","1,778"
충북,"1,866","1,848","1,781"
충남,"1,931","1,927","1,866"
전북,"1,956","1,954","1,862"
전남,"1,752","1,777","1,741"
경북,"1,817","1,838","1,803"
경남,"2,009","1,980","1,943"
제주,"2,294","2,398","2,407"
