구분,평일,토요일,일요일
서울,8.5,8.8,8.8
부산,5.9,6.1,6.5
대구,5,5.1,5.2
인천,8.6,9.2,9.4
광주,4.8,4.8,4.9
대전,4.9,5.2,5.3
울산,6.7,6.9,7.5
경기,9.4,10.1,10.3
